source_file,page_number,supplier_code,supplier_name,transaction_date,transaction_type,reference,amount,additional_info,document_type,report_period,file_type,report_period_start,report_period_end,original_report_period,reference_normalized
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,0001016532,287.5,213056,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016532
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,0001016533,517.5,213057,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016533
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,0001016534,517.5,213058,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016534
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,0001016535,287.5,213059,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016535
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,0001016536,287.5,213060,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016536
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,2,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,0001016537,1109.75,213061,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016537
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,3,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,0001016538,517.5,213062,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016538
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,3,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,0001016539,1035.0,213063,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016539
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,3,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,0001016540,3970.16,213122,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016540
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,3,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,0001016541,7970.32,213180,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016541
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,3,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,0001016542,218.5,213262,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016542
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,3,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,0001016543,281.75,213263,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016543
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,3,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,0001016544,13617.05,213268,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016544
