item_code,supplier_name,item_description,source_type,request_count,total_quantity,avg_quantity,first_request,last_request
138270,KE MATLA EXCELLENCE SUPPLIERS AND PROJECTS CC,SUPPLY AND DELIVERY,GRN,1,9.0,9.0,,
138270,KWATHAHLA TRADING AND ENTERPRISE,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,MADIBOO OFFICE AND CLEANING PROJECTS,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,LA DINDO (PTY) LTD,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,LAMORSHCA TRADING (PTY) LTD,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,LESEDI LA THEBE (PTY) LTD,SUPPLY AND DELIVERY,GRN,1,100.0,100.0,,
138270,LETHABOTHULAGANYO TRADING,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,LETSHABO DEVELOPERS,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,LITHITHA ROOTS,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,LWAZI TEMO HOLDINGS (PTY) LTD,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,MABIRIMISA CONSULTING AND PROJECTS,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
151766,WE2 SONKE TRADING (PTY) LTD,belt,GRN,1,1.0,1.0,,
151948,RAYPOWER TRADING PTY LTD,posters 100,GRN,1,300.0,300.0,,
181487,VAALBRUG DIEREKLINIEK GROOTHANDEL,LOADING PIPES,GRN,1,1.0,1.0,,
169221,FANISWA TRADING AND ENTERPRISE (PTY) LTD,REPAIRS,GRN,1,12.0,12.0,,
169221,GREEN POINT SUPPY AND DELIVERY,REPAIRS,GRN,1,1.0,1.0,,
169221,KGETHOGOLO TRADING AND PROJECTS (PTY) LTD,REPAIRS,GRN,1,1.0,1.0,,
169221,KLERKSDORP VOLKSWAGEN,REPAIRS,GRN,1,1.0,1.0,,
169221,MOKGORO LEBODI ENTERPRISE (PTY) LTD,REPAIRS,GRN,1,1.0,1.0,,
169221,MORIBO WA AFRICA TRADING ENTERPRISE 68,REPAIRS,GRN,1,1.0,1.0,,
169221,MULTI CRANES AND PLATFORMS,REPAIRS,GRN,1,1.0,1.0,,
169221,ORANJE TOYOTA,REPAIRS,GRN,1,1.0,1.0,,
169221,THE BLACK BIRD MULTIMEDIA,REPAIRS,GRN,1,1.0,1.0,,
169221,THOMSENS BREAKDOWN SERVICES,REPAIRS,GRN,1,1.0,1.0,,
169221,ZAMNTE CONSTRUCTION,REPAIRS,GRN,1,1.0,1.0,,
170552,BOITSHEPO CONSORTIUM,hire,GRN,1,160.0,160.0,,
170552,M EBERSOHN TRUCK AND DIESEL CC               L,hire,GRN,1,1.0,1.0,,
170552,MOHAUMOLUTSI CIVIL WORKS (PTY) LTD,hire,GRN,1,9.0,9.0,,
170552,MOREKI DEVELOPMENT PTY LTD,hire,GRN,1,108.0,108.0,,
170552,RAUCO TRADING CC,hire,GRN,1,1.0,1.0,,
170552,TSEKGO PROJECTS CONSTRUCTION CC,hire,GRN,1,2.0,2.0,,
